j_name,seed,final_states,final_avg_p,track_count,stable_tracks,node_count,edge_count,component_count,largest_component,mean_degree,max_degree,mean_edge_K,mean_edge_d,mean_geodesic_d,max_geodesic_d,final_avg_memory,final_max_memory
linear_cutoff_0_20,41,120,0.12427941004649368,1,1,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0.5047668567422962,0.5047668567422962
linear_cutoff_0_20,42,120,0.1310735409151251,1,1,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0.5047668567422962,0.5047668567422962
linear_cutoff_0_20,43,120,0.13022447639746312,1,1,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0.5047668567422962,0.5047668567422962
linear_cutoff_0_20,44,120,0.15428116378582163,1,1,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0.5047668567422962,0.5047668567422962
linear_cutoff_0_20,45,120,0.1413317105060486,1,1,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0.5047668567422962,0.5047668567422962
linear_cutoff_0_20,46,120,0.1441288696447041,1,1,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0.5047668567422962,0.5047668567422962
linear_cutoff_0_20,47,120,0.13930281375761197,1,1,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0.5047668567422962,0.5047668567422962
linear_cutoff_0_20,48,120,0.12694586789046483,1,1,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0.5047668567422962,0.5047668567422962
linear_cutoff_0_20,49,120,0.1260099141739656,1,1,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0.5047668567422962,0.5047668567422962
linear_cutoff_0_35,0,120,0.11344574852495719,61,3,3,0,3,1,0,0,0.0,0.0,0.0,0.0,0.48421994907929966,0.5045114985952794
linear_cutoff_0_35,1,120,0.1349949656664182,82,1,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0.4806663072990052,0.5037802859693944
linear_cutoff_0_35,2,120,0.12708271364173288,76,2,2,0,2,1,0,0,0.0,0.0,0.0,0.0,0.4772782661400982,0.5037802859693944
