seed,final_states,final_avg_p,avg_proto_distance,threshold,cluster_count,largest_cluster,mean_cluster_size,isolated_states,strong_joins,top_sizes
20,29,0.015920716450509236,3.095757461162103,0.15,1,29,29,0,85,29
20,29,0.015920716450509236,3.095757461162103,0.25,6,23,4.833333333333333,4,48,23 2 1 1 1 1
20,29,0.015920716450509236,3.095757461162103,0.4,14,5,2.0714285714285716,6,17,5 5 3 2 2 2 2 2 1 1
20,29,0.015920716450509236,3.095757461162103,0.6,24,2,1.2083333333333333,19,5,2 2 2 2 2 1 1 1 1 1
20,29,0.015920716450509236,3.095757461162103,0.8,27,2,1.0740740740740742,25,2,2 2 1 1 1 1 1 1 1 1
21,39,0.025898694388960326,3.0860281241987417,0.15,2,37,19.5,0,170,37 2
21,39,0.025898694388960326,3.0860281241987417,0.25,5,33,7.8,2,111,33 2 2 1 1
21,39,0.025898694388960326,3.0860281241987417,0.4,12,11,3.25,4,69,11 8 5 3 2 2 2 2 1 1
21,39,0.025898694388960326,3.0860281241987417,0.6,22,9,1.7727272727272727,13,38,9 3 2 2 2 2 2 2 2 1
21,39,0.025898694388960326,3.0860281241987417,0.8,32,8,1.21875,31,20,8 1 1 1 1 1 1 1 1 1
22,33,0.012341344622403343,3.117793696562201,0.15,1,33,33,0,105,33
22,33,0.012341344622403343,3.117793696562201,0.25,4,28,8.25,1,49,28 2 2 1
22,33,0.012341344622403343,3.117793696562201,0.4,14,9,2.357142857142857,6,22,9 5 3 2 2 2 2 2 1 1
22,33,0.012341344622403343,3.117793696562201,0.6,27,3,1.2222222222222223,22,6,3 2 2 2 2 1 1 1 1 1
22,33,0.012341344622403343,3.117793696562201,0.8,32,2,1.03125,31,1,2 1 1 1 1 1 1 1 1 1
23,28,0.013913185132460983,2.9802103592727063,0.15,2,26,14,0,84,26 2
23,28,0.013913185132460983,2.9802103592727063,0.25,3,25,9.333333333333334,1,44,25 2 1
23,28,0.013913185132460983,2.9802103592727063,0.4,13,6,2.1538461538461537,7,16,6 4 3 3 3 2 1 1 1 1
23,28,0.013913185132460983,2.9802103592727063,0.6,23,3,1.2173913043478262,19,5,3 2 2 2 1 1 1 1 1 1
23,28,0.013913185132460983,2.9802103592727063,0.8,28,1,1,28,0,1 1 1 1 1 1 1 1 1 1
24,31,0.014834887679486437,3.188906330101811,0.15,1,31,31,0,78,31
24,31,0.014834887679486437,3.188906330101811,0.25,3,26,10.333333333333334,0,47,26 3 2
24,31,0.014834887679486437,3.188906330101811,0.4,12,8,2.5833333333333335,5,24,8 4 4 3 3 2 2 1 1 1
24,31,0.014834887679486437,3.188906330101811,0.6,24,3,1.2916666666666667,18,8,3 2 2 2 2 2 1 1 1 1
24,31,0.014834887679486437,3.188906330101811,0.8,29,2,1.0689655172413792,27,2,2 2 1 1 1 1 1 1 1 1
25,120,0.1990838181627457,1.4284589091146374,0.15,2,117,60,0,5542,117 3
25,120,0.1990838181627457,1.4284589091146374,0.25,3,115,40,0,4794,115 3 2
25,120,0.1990838181627457,1.4284589091146374,0.4,6,107,20,1,3294,107 5 3 2 2 1
25,120,0.1990838181627457,1.4284589091146374,0.6,12,103,10,7,1371,103 4 2 2 2 1 1 1 1 1
25,120,0.1990838181627457,1.4284589091146374,0.8,25,91,4.8,19,296,91 2 2 2 2 2 1 1 1 1
26,120,0.09756377250049757,1.6468713430376305,0.15,1,120,120,0,4822,120
26,120,0.09756377250049757,1.6468713430376305,0.25,1,120,120,0,3693,120
26,120,0.09756377250049757,1.6468713430376305,0.4,4,116,30,2,2182,116 2 1 1
26,120,0.09756377250049757,1.6468713430376305,0.6,18,99,6.666666666666667,13,820,99 2 2 2 2 1 1 1 1 1
26,120,0.09756377250049757,1.6468713430376305,0.8,44,57,2.727272727272727,35,156,57 6 5 4 3 3 3 2 2 1
27,24,0.022576401616521923,3.0514244448459653,0.15,2,23,12,1,62,23 1
27,24,0.022576401616521923,3.0514244448459653,0.25,5,18,4.8,3,37,18 3 1 1 1
27,24,0.022576401616521923,3.0514244448459653,0.4,7,15,3.4285714285714284,4,23,15 3 2 1 1 1 1
27,24,0.022576401616521923,3.0514244448459653,0.6,20,3,1.2,17,4,3 2 2 1 1 1 1 1 1 1
27,24,0.022576401616521923,3.0514244448459653,0.8,24,1,1,24,0,1 1 1 1 1 1 1 1 1 1
28,28,0.020302140632350578,2.9771123777059363,0.15,1,28,28,0,84,28
28,28,0.020302140632350578,2.9771123777059363,0.25,3,23,9.333333333333334,1,43,23 4 1
28,28,0.020302140632350578,2.9771123777059363,0.4,14,8,2,10,21,8 4 3 3 1 1 1 1 1 1
28,28,0.020302140632350578,2.9771123777059363,0.6,23,3,1.2173913043478262,19,5,3 2 2 2 1 1 1 1 1 1
28,28,0.020302140632350578,2.9771123777059363,0.8,26,2,1.0769230769230769,24,2,2 2 1 1 1 1 1 1 1 1
29,35,0.011127402955927325,3.1637102651079334,0.15,1,35,35,0,109,35
29,35,0.011127402955927325,3.1637102651079334,0.25,2,34,17.5,1,57,34 1
29,35,0.011127402955927325,3.1637102651079334,0.4,15,6,2.3333333333333335,4,21,6 4 3 3 3 2 2 2 2 2
29,35,0.011127402955927325,3.1637102651079334,0.6,31,2,1.1290322580645162,27,4,2 2 2 2 1 1 1 1 1 1
29,35,0.011127402955927325,3.1637102651079334,0.8,34,2,1.0294117647058822,33,1,2 1 1 1 1 1 1 1 1 1
30,34,0.014606986220897256,3.1461794423287217,0.15,1,34,34,0,109,34
30,34,0.014606986220897256,3.1461794423287217,0.25,2,30,17,0,65,30 4
30,34,0.014606986220897256,3.1461794423287217,0.4,13,13,2.6153846153846154,8,26,13 4 4 3 2 1 1 1 1 1
30,34,0.014606986220897256,3.1461794423287217,0.6,28,3,1.2142857142857142,24,8,3 3 2 2 1 1 1 1 1 1
