step,undamped_mean,undamped_std,adaptive_mean,adaptive_std
46,1.4139320803183355,4.440892098500626e-16,1.000000529403312,0.0
47,1.415161785571595,0.0,1.0000004023465174,2.220446049250313e-16
48,1.4162881955835818,6.661338147750939e-16,1.0000003057833529,2.220446049250313e-16
49,1.41731998715456,2.220446049250313e-16,1.0000002323953479,4.440892098500626e-16
50,1.4182651082335769,4.440892098500626e-16,1.0000001766204645,2.220446049250313e-16
51,1.4191308391419568,0.0,1.0000001342315532,0.0
52,1.4199238486540329,4.440892098500626e-16,1.0000001020159803,0.0
53,1.420650245367093,6.661338147750939e-16,1.0000000775321456,4.440892098500626e-16
54,1.4213156247562575,4.440892098500626e-16,1.0000000589244302,0.0
55,1.421925112276732,2.220446049250313e-16,1.000000044782567,0.0
56,1.4224834028454867,0.0,1.0000000340347515,4.440892098500626e-16
57,1.4229947970064662,4.440892098500626e-16,1.0000000258664108,0.0
58,1.423463234057923,2.220446049250313e-16,1.0000000196584722,0.0
59,1.4238923223970579,6.661338147750939e-16,1.0000000149404389,0.0
60,1.4242853673157043,0.0,1.0000000113547336,0.0
61,1.4246453964611847,4.440892098500626e-16,1.000000008629598,4.440892098500626e-16
62,1.4249751831584452,4.440892098500626e-16,1.0000000065584942,0.0
63,1.4252772677731362,0.0,1.000000004984456,4.440892098500626e-16
64,1.4255539772801926,2.220446049250313e-16,1.0000000037881862,0.0
65,1.4258074431886565,2.220446049250313e-16,1.000000002879021,4.440892098500626e-16
66,1.42603961796081,4.440892098500626e-16,1.0000000021880562,2.220446049250313e-16
67,1.4262522900521015,0.0,1.0000000016629227,2.220446049250313e-16
68,1.4264470976877246,4.440892098500626e-16,1.0000000012638213,2.220446049250313e-16
69,1.4266255414819566,4.440892098500626e-16,1.0000000009605043,0.0
70,1.4267889959974722,4.440892098500626e-16,1.0000000007299834,0.0
71,1.426938720333684,0.0,1.0000000005547878,4.440892098500626e-16
72,1.4270758678256543,2.220446049250313e-16,1.0000000004216383,0.0
73,1.4272014949283003,6.661338147750939e-16,1.0000000003204446,4.440892098500626e-16
74,1.4273165693543222,2.220446049250313e-16,1.0000000002435383,0.0
75,1.4274219775285597,4.440892098500626e-16,1.000000000185089,0.0
76,1.427518531416161,6.661338147750939e-16,1.0000000001406675,2.220446049250313e-16
77,1.4276069747772024,4.440892098500626e-16,1.0000000001069078,4.440892098500626e-16
78,1.4276879888959182,4.440892098500626e-16,1.0000000000812501,4.440892098500626e-16
79,1.42776219782866,4.440892098500626e-16,1.0000000000617497,0.0
80,1.427830173211053,0.0,1.00000000004693,2.220446049250313e-16
81,1.4278924386613243,2.220446049250313e-16,1.0000000000356661,4.440892098500626e-16
82,1.427949473813773,2.220446049250313e-16,1.0000000000271068,2.220446049250313e-16
83,1.4280017180134161,2.220446049250313e-16,1.000000000020601,0.0
