j_name,seed,a5_init,final_states,stable_tracks,geo_score,node_count,edge_count,component_count,largest_component,mean_geodesic_d,max_geodesic_d,clustering_coeff,mean_edge_K,sparsity,diameter,e_per_n,regime,final_avg_memory
anisotropic_exp,11,False,120,32,0.8590783333333334,32,57,3,30,5.547637520442576,14.270906523648273,0.5197916666666667,0.38206665153070407,0.8851,14.2709,1.781,geometrisch,0.3451785538860977
anisotropic_exp,12,False,120,28,0.6256646907254042,28,34,5,14,2.730608100222371,6.939536389114567,0.22857142857142856,0.3610065898231338,0.9101,6.9395,1.214,geometrisch,0.3379018639340213
anisotropic_exp,13,False,120,31,0.6125676104251113,31,42,8,10,1.9713694128033004,5.010260853622051,0.4827956989247312,0.3974494786308346,0.9097,5.0103,1.355,geometrisch,0.3790744407380515
anisotropic_exp,14,False,120,26,0.7168699995814454,26,37,3,15,3.0594205044494203,9.091530228855671,0.4717948717948718,0.42464265507262267,0.8862,9.0915,1.423,geometrisch,0.40313362490215787
linf_exp,0,False,120,23,0.717798375352992,23,35,3,17,2.6390805505380976,5.694975013468705,0.45652173913043476,0.3886987217422105,0.8617,5.695,1.522,geometrisch,0.40510598378079016
linf_exp,1,False,120,20,0.6601264340828948,20,35,3,10,1.9707572530864674,5.699233403069272,0.6171428571428571,0.4325501284114795,0.8158,5.6992,1.75,geometrisch,0.3936137579488075
linf_exp,2,False,120,15,0.4969491417838716,15,16,4,9,1.903471724566321,3.3045449884359366,0.17777777777777776,0.3871161823496456,0.8476,3.3045,1.067,geometrisch,0.4362854442874916
linf_exp,3,False,120,19,0.7593517501931863,19,27,1,19,3.808213951232148,8.365427779930906,0.34210526315789475,0.3359790045065123,0.8421,8.3654,1.421,geometrisch,0.44289808680766873
linf_exp,4,False,120,14,0.5282514344489945,14,15,4,8,1.9393715461227452,3.706431814430253,0.38571428571428573,0.37075597630614515,0.8352,3.7064,1.071,geometrisch,0.4511244673551578
linf_exp,5,False,120,12,0.4335896363384242,12,9,5,6,1.7951705045462614,4.018963736801849,0.18055555555555555,0.37733612330732247,0.8636,4.019,0.75,geometrisch,0.44207587843869284
