j_name,seed,final_states,final_avg_p,final_avg_memory,final_max_memory,track_count,stable_tracks,node_count,edge_count,density,component_count,largest_component,mean_degree,max_degree,degree_std,mean_weighted_degree,mean_edge_K,mean_edge_d,mean_geodesic_d,max_geodesic_d,closeness_mean,clustering_coefficient,triangle_count,effective_dim,mds_cumvar_top5,gromov_delta_max,gromov_delta_mean,gromov_samples,mean_K_asymmetry,prop_monotone,prop_gradual,prop_local,prop_continuous,prop_symmetric,prop_cutoff,prop_resonant,prop_random_like,prop_long_range,prop_norm_family,prop_comment,geometry_quality,icosahedrality,comath_property_score,classification
anisotropic_exp,13,120,0.09574812426344384,0.3790744407380515,0.5047668567422962,159,31,31,42,0.09032258064516129,8,10,2.7096774193548385,6,1.6302295185152615,1.0819106521297939,0.39927655019075725,0.9688896381962367,1.9617374328182275,4.904784007230459,0.6791099427065905,0.4827956989247312,24,6,0.3693;0.6147;0.7361;0.8179;0.8716,1.1056033402688237,0.07143487049990367,189,0.0,1,1,1,1,1,0,0,0,moderate,anisotropic,unequal sigma/chi weights,0.9872727272727273,0.5030263556308081,1.0,ICO_CANDIDATE
anisotropic_exp,14,120,0.08788401043817053,0.40313362490215787,0.5047668567422962,167,26,26,36,0.11076923076923077,3,15,2.769230769230769,5,1.2498520622516862,1.1730759737118828,0.4236107682848465,0.9136952429654059,3.1461927639114435,9.091530228855671,0.3389655118342692,0.3871794871794872,14,2,0.831;0.9329,1.094357192796135,0.037357906908538206,300,0.0,1,1,1,1,1,0,0,0,moderate,anisotropic,unequal sigma/chi weights,1.0,0.603533033479735,1.0,ICO_CANDIDATE
anisotropic_exp,15,120,0.15370172233128743,0.27282344204738496,0.5047668567422962,160,32,32,53,0.10685483870967742,4,20,3.3125,8,2.1999644883497553,1.2969920528275165,0.39154477066491067,0.9617735215446855,2.8213251491781075,8.563689170423675,0.36448591537323555,0.29575892857142855,37,3,0.7717;0.8801;0.9391,1.1312445757696645,0.12859768950161032,300,0.0,1,1,1,1,1,0,0,0,moderate,anisotropic,unequal sigma/chi weights,1.0,0.47882963120146793,1.0,ICO_CANDIDATE
anisotropic_exp,16,120,0.11326022451605716,0.3047398886779052,0.5047668567422962,145,34,34,47,0.08377896613190731,6,10,2.764705882352941,7,1.4360653665569063,1.1164485300894773,0.4038218087557684,0.9562807923194743,1.9496801061207651,6.35423742156828,0.6417687876456268,0.4280112044817927,23,4,0.3409;0.5861;0.7705;0.9256,0.6086118519867849,0.052439746144586546,50,0.0,1,1,1,1,1,0,0,0,moderate,anisotropic,unequal sigma/chi weights,1.0,0.48473681513713013,1.0,ICO_CANDIDATE
anisotropic_exp,17,120,0.10110710735090675,0.40309840288240695,0.5047668567422962,171,26,26,24,0.07384615384615385,8,10,1.8461538461538463,4,1.2307692307692308,0.7226187104045225,0.39141846813578307,0.9801485879451035,2.6264445654400483,7.4007507947632085,0.39114531782510764,0.2948717948717949,7,6,0.3896;0.6586;0.7629;0.8132;0.8635,0.07012786189144204,0.0046024739328276824,234,0.0,1,1,1,1,1,0,0,0,moderate,anisotropic,unequal sigma/chi weights,0.9872727272727273,0.5016676037865612,1.0,ICO_CANDIDATE
anisotropic_exp,18,120,0.09008415625850068,0.3980171270927003,0.5047668567422962,195,22,22,33,0.14285714285714285,6,8,3,6,1.7837651700316894,1.2823110906639363,0.42743703022131213,0.8996512595704533,1.3847955462814756,3.586419572435006,0.6775531578026925,0.44696969696969696,22,5,0.4395;0.7247;0.8268;0.8882;0.9495,0.7487799991478005,0.1046413531339782,159,0.0,1,1,1,1,1,0,0,0,moderate,anisotropic,unequal sigma/chi weights,1.0,0.6224411931555476,1.0,ICO_CANDIDATE
anisotropic_exp,19,120,0.09186960940826737,0.30955503587853944,0.5047668567422962,150,33,33,52,0.09848484848484848,6,14,3.1515151515151514,7,1.635240916755399,1.3770326132897404,0.43694304075539836,0.8900170185600262,2.236575364464253,6.520988862456635,0.7558337259320753,0.5261183261183261,31,4,0.4799;0.6927;0.8186;0.9118,0.6041455271977285,0.0786620839150549,300,0.0,1,1,1,1,1,0,0,0,moderate,anisotropic,unequal sigma/chi weights,1.0,0.4748087426282852,1.0,ICO_CANDIDATE
power,0,120,0.12089822701056332,0.4037769706724475,0.5047668567422962,164,23,23,37,0.14624505928853754,2,22,3.217391304347826,6,1.5591670501774877,1.342874469144292,0.4173799025718745,0.9279325699361464,3.835896880299078,9.222481478271954,0.2632660706958009,0.49420289855072463,19,2,0.5951;0.9291,0.18742635086237946,0.009066653288884502,300,0.0,1,1,1,1,1,0,0,0,moderate,coordinate-power,S8 agnosticity power candidate,0.9824552429667519,0.6561261560256887,1.0,ICO_CANDIDATE
power,1,120,0.11234896718118166,0.4219181736469073,0.4891713100180208,134,16,16,20,0.16666666666666666,4,10,2.5,5,1.4577379737113252,1.0871270782332791,0.4348508312933117,0.8995726778364818,1.8917839493673074,4.388554856452961,0.5824743055699386,0.47291666666666665,9,3,0.6311;0.8146;0.9252,0.450271227537945,0.06792122495518806,300,0.0,1,1,1,1,1,0,0,0,moderate,coordinate-power,S8 agnosticity power candidate,1.0,0.6529437599803863,1.0,ICO_CANDIDATE
power,2,120,0.12571969785323464,0.41271179209121667,0.5047668567422962,150,21,21,25,0.11904761904761904,2,19,2.380952380952381,5,1.1741740958036146,0.8905926861281687,0.37404892817383084,1.0257832466886605,3.3620037581010376,7.796322975502878,0.4820034223079539,0.12857142857142856,4,3,0.7481;0.8938;0.9512,1.5747339990893803,0.19283744074997733,300,0.0,1,1,1,1,1,0,0,0,moderate,coordinate-power,S8 agnosticity power candidate,0.9909803921568627,0.5603099264810959,1.0,ICO_CANDIDATE
