j_func,alpha,beta,r_theory,r_mean,r_between_seed_std,r_within_tail_std,r_abs_error,r_slope_tail,m_max_mean,edges_mean,largest_component_mean,ico_score_mean,ico_score_seed_std,class
linf_exp,0.6,0.1,2.2,2.1999999999982713,0.0,2.1239168723575565e-12,1.7288392939462938e-12,1.0499055914391924e-13,1.0999999999999686,66.0,12.0,0.418468586675725,0.0072013059185582744,analytic_tracking
linf_exp,0.7,0.1,2.75,2.7499999994113242,0.0,6.019562882486334e-10,5.88675774793046e-10,2.8585359114924957e-11,1.3749999999763372,66.0,12.0,0.41846858667572495,0.007201305918558233,analytic_tracking
linf_exp,0.8,0.1,3.666666666666668,3.6666664588626907,0.0,1.65107695093216e-07,2.0780397713693333e-07,7.559732558654545e-09,1.8333333158808238,66.0,12.0,0.41846858667572495,0.007201305918558223,analytic_tracking
linf_exp,0.9,0.1,5.500000000000001,5.4999187685931545,0.0,4.423128885073063e-05,8.123140684634933e-05,1.966116957983604e-06,2.749986644552889,66.0,12.0,0.418468586675725,0.007201305918558234,analytic_tracking
linf_exp,0.0,0.25,1.0,0.9999999999999996,0.0,0.0,4.440892098500626e-16,0.0,0.4999999999999998,66.0,12.0,0.41846858667572495,0.007201305918558249,stable_horizon
linf_exp,0.005,0.25,1.004016064257028,1.0040160642570275,0.0,0.0,4.440892098500626e-16,0.0,0.5020080321285137,66.0,12.0,0.41846858667572495,0.0072013059185582155,stable_horizon
linf_exp,0.0072973525205055605,0.25,1.0058721630112453,1.0058721630112444,0.0,0.0,8.881784197001252e-16,0.0,0.5029360815056222,66.0,12.0,0.41846858667572495,0.0072013059185582285,stable_horizon
linf_exp,0.02,0.25,1.016260162601626,1.0162601626016252,0.0,0.0,8.881784197001252e-16,0.0,0.5081300813008126,66.0,12.0,0.41846858667572495,0.007201305918558215,stable_horizon
linf_exp,0.05,0.25,1.0416666666666667,1.0416666666666659,0.0,0.0,8.881784197001252e-16,0.0,0.5208333333333329,66.0,12.0,0.41846858667572495,0.0072013059185582345,stable_horizon
linf_exp,0.1,0.25,1.0869565217391306,1.0869565217391295,0.0,0.0,1.1102230246251565e-15,0.0,0.5434782608695647,66.0,12.0,0.41846858667572495,0.007201305918558216,analytic_tracking
linf_exp,0.2,0.25,1.1904761904761905,1.1904761904761896,0.0,0.0,8.881784197001252e-16,0.0,0.5952380952380948,66.0,12.0,0.418468586675725,0.0072013059185582606,analytic_tracking
linf_exp,0.3,0.25,1.3157894736842106,1.3157894736842095,0.0,0.0,1.1102230246251565e-15,0.0,0.6578947368421048,66.0,12.0,0.4184685866757249,0.007201305918558255,analytic_tracking
linf_exp,0.4,0.25,1.4705882352941178,1.4705882352941166,0.0,0.0,1.1102230246251565e-15,0.0,0.7352941176470583,66.0,12.0,0.41846858667572495,0.007201305918558256,analytic_tracking
linf_exp,0.5,0.25,1.6666666666666667,1.6666666666666654,0.0,0.0,1.3322676295501878e-15,0.0,0.8333333333333327,66.0,12.0,0.41846858667572495,0.007201305918558264,analytic_tracking
linf_exp,0.6,0.25,1.923076923076923,1.9230769230769211,0.0,0.0,1.7763568394002505e-15,0.0,0.9615384615384606,66.0,12.0,0.41846858667572495,0.007201305918558244,analytic_tracking
linf_exp,0.7,0.25,2.2727272727272725,2.272727272727159,0.0,1.4995037267250543e-13,1.1368683772161603e-13,7.555137949854229e-15,1.1363636363636345,66.0,12.0,0.41846858667572495,0.007201305918558255,analytic_tracking
linf_exp,0.8,0.25,2.777777777777778,2.7777777777399217,0.0,4.27102526395971e-11,3.785638469366859e-11,2.068713695424074e-12,1.3888888888878586,66.0,12.0,0.41846858667572495,0.007201305918558225,analytic_tracking
linf_exp,0.9,0.25,3.5714285714285716,3.5714285585378254,0.0,1.1748296198051975e-08,1.289074624821751e-08,5.474622780426775e-10,1.7857142849596748,66.0,12.0,0.41846858667572495,0.007201305918558237,analytic_tracking
linf_exp,0.0,0.5,1.0,0.9999999999999996,0.0,0.0,4.440892098500626e-16,0.0,0.4999999999999998,66.0,12.0,0.41846858667572495,0.007201305918558249,stable_horizon
linf_exp,0.005,0.5,1.0033444816053512,1.0033444816053505,0.0,0.0,6.661338147750939e-16,0.0,0.5016722408026753,66.0,12.0,0.418468586675725,0.007201305918558286,stable_horizon
linf_exp,0.0072973525205055605,0.5,1.0048886846505078,1.0048886846505074,0.0,0.0,4.440892098500626e-16,0.0,0.5024443423252537,66.0,12.0,0.41846858667572495,0.0072013059185582675,stable_horizon
linf_exp,0.02,0.5,1.0135135135135136,1.013513513513513,0.0,0.0,6.661338147750939e-16,0.0,0.5067567567567565,66.0,12.0,0.418468586675725,0.0072013059185582415,stable_horizon
linf_exp,0.05,0.5,1.0344827586206897,1.034482758620689,0.0,0.0,6.661338147750939e-16,0.0,0.5172413793103445,66.0,12.0,0.418468586675725,0.0072013059185582606,stable_horizon
linf_exp,0.1,0.5,1.0714285714285714,1.0714285714285707,0.0,0.0,6.661338147750939e-16,0.0,0.5357142857142854,66.0,12.0,0.41846858667572495,0.007201305918558257,analytic_tracking
linf_exp,0.2,0.5,1.1538461538461537,1.1538461538461533,0.0,0.0,4.440892098500626e-16,0.0,0.5769230769230766,66.0,12.0,0.41846858667572495,0.007201305918558219,analytic_tracking
linf_exp,0.3,0.5,1.25,1.2499999999999993,0.0,0.0,6.661338147750939e-16,0.0,0.6249999999999997,66.0,12.0,0.4184685866757249,0.007201305918558252,analytic_tracking
