seed,final_states,node_count,edge_count,component_count,largest_component,mean_degree,max_degree,mean_weighted_degree,mean_edge_K,mean_edge_d,mean_geodesic_d,max_geodesic_d,mean_closeness,max_closeness,final_avg_memory,final_max_memory
34,120,35,49,6,16,2.8,7,1.1670530243293964,0.416804651546213,0.936364223975202,2.6820993415490246,6.576979946315481,0.4394542846013763,1.3259805716243016,0.20058870649385233,0.5047668567422962
35,120,37,53,9,14,2.864864864864865,8,1.416846743005627,0.4945597121812094,0.7523734107863297,2.011191614658369,5.264435099592097,0.6749511874630155,1.6885596704405395,0.23919396008449764,0.5047668567422962
36,120,37,58,4,32,3.135135135135135,7,1.285449544838869,0.4100140789572254,0.9669689829525071,4.892299524781056,14.460281297699815,0.3447523385682843,2.2875389784853395,0.35194911938041507,0.5047668567422962
37,120,33,54,6,11,3.272727272727273,6,1.2894285123826308,0.3939920454502483,0.9769631005740643,1.6699634917510817,3.754983423077014,0.770255292028572,1.8451120284516993,0.21702131828675084,0.5047668567422962
38,120,30,31,6,12,2.066666666666667,4,0.8218084218767902,0.39764923639199523,0.9689428627199154,3.2620318131430808,7.669209895529505,0.7189189344831588,4.86131937909595,0.3709839679049248,0.5047668567422962
39,40,36,42,6,15,2.3333333333333335,5,0.9768976476794863,0.41867042043406555,0.9308115863811112,2.73625376032649,6.928742055764346,0.4222621065429482,1.115074967817806,0.36098684963954797,0.5047668567422962
40,120,25,29,7,8,2.32,6,0.9829937326740106,0.42370419511810803,0.9190121575225058,1.4294733990939867,3.3979003599339244,0.7153417692885621,1.1811114625034798,0.4226691705131157,0.5047668567422962
41,120,31,32,6,10,2.064516129032258,4,0.8591719260239723,0.4161614016678616,0.9075371390375652,2.310185324662114,5.304606401405464,0.4755172314841435,0.8653669801396568,0.30037189154280514,0.5047668567422962
42,120,29,33,6,9,2.2758620689655173,4,1.0169875419603156,0.4468581623765023,0.8766288269643947,1.8880091610881704,5.173246633892484,0.709277840884508,2.254363398816108,0.39847599320223415,0.5047668567422962
43,120,39,47,8,17,2.41025641025641,6,0.9444439857387835,0.39184378131715486,0.9767164710217159,3.195111537541605,8.79041185782195,0.5288971364698472,1.7089309819095577,0.2672115665855857,0.5047668567422962
44,120,32,39,5,11,2.4375,4,1.0375301147080502,0.42565338039304623,0.8931526771458917,2.665516739742787,7.609173378370764,0.5630275603408157,1.2844707818270964,0.18946169765953944,0.5047668567422962
45,120,32,45,6,12,2.8125,6,1.0662671299550088,0.3791172017617809,1.0214038191819126,2.020217739900544,4.840085968526717,0.5783747183720849,1.2875485435632947,0.3574354757289206,0.5047668567422962
46,120,24,18,10,9,1.5,4,0.5897393714817212,0.3931595809878141,0.9734135111520745,2.188698897197816,5.0686600267815525,0.3294584467200928,0.7986652286471934,0.42681768934413405,0.5047668567422962
47,120,30,43,6,12,2.8666666666666667,5,1.2526350055554722,0.436965699612374,0.8949545553527036,2.1894191698965235,6.188597163807113,0.6122784675801816,1.3442207272792677,0.23523439176949804,0.5047668567422962
48,120,29,34,6,15,2.3448275862068964,4,0.8944551592029552,0.38145881789537794,0.9976843573525858,2.860497566769085,7.446818023476747,0.41963831104620125,0.9382172062136771,0.3740720172860922,0.5047668567422962
49,120,27,22,10,5,1.6296296296296295,4,0.6463386876958475,0.3966169219951791,0.9821930123062588,1.481954268388287,3.548865117483434,0.8724656090991698,2.1992240611920884,0.3841676914963692,0.5047668567422962
